成分A,成分B,相互作用レベル,説明,出典,pmda_updated_at,interaction_id
イカリソウ乾燥エキス−A,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
イカリソウ乾燥エキス−A,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ乾燥エキス−A,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ乾燥エキス−A,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ乾燥エキス−A,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
イカリソウ乾燥エキス−A,インスリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
SSRI,イカリソウ乾燥エキス−A,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,イカリソウ乾燥エキス−A,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
イカリソウ乾燥エキス−A,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ乾燥エキス−A,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ乾燥エキス−A,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ乾燥エキス−A,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ乾燥エキス−A,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ乾燥エキス−A,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ流,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ流,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
イカリソウ流,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アスピリン,イカリソウ流,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,イカリソウ流,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,イカリソウ流,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ流,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
イカリソウ流,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ流,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ流,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ流,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
イカリソウ流,インスリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
SSRI,イカリソウ流,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,イカリソウ流,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
イカリソウ流,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ流,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ流,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ流,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ流,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ流,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ軟稠,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ軟稠,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
イカリソウ軟稠,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アスピリン,イカリソウ軟稠,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,イカリソウ軟稠,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,イカリソウ軟稠,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ軟稠,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
イカリソウ軟稠,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ軟稠,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ軟稠,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ軟稠,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
イカリソウ軟稠,インスリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
SSRI,イカリソウ軟稠,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,イカリソウ軟稠,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
イカリソウ軟稠,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ軟稠,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ軟稠,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ軟稠,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ軟稠,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ軟稠,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリ草,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリ草,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
イカリ草,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アスピリン,イカリ草,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,イカリ草,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,イカリ草,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリ草,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
イカリ草,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリ草,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリ草,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリ草,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
イカリ草,インスリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
SSRI,イカリ草,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,イカリ草,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
イカリ草,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリ草,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリ草,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリ草,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリ草,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリ草,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリ草エキス−S,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリ草エキス−S,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
イカリ草エキス−S,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アスピリン,イカリ草エキス−S,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
